,month,year,RandomForest Forecast,XGBoost Forecast
2018-03-01,3,2018,13922.818600000004,0.0025580127
2018-04-01,4,2018,13922.818600000004,0.0025580127
2018-05-01,5,2018,36547.04109999996,50276.04
2018-06-01,6,2018,45006.00529999997,47701.457
2018-07-01,7,2018,17266.5902,0.005470015
2018-08-01,8,2018,36178.812400000046,48233.61
2018-09-01,9,2018,36178.812400000046,48233.61
2018-10-01,10,2018,36178.812400000046,48233.61
2018-11-01,11,2018,36178.812400000046,48233.61
2018-12-01,12,2018,36178.812400000046,48233.61
2019-01-01,1,2019,13922.818600000004,0.0025580127
2019-02-01,2,2019,13922.818600000004,0.0025580127
